salary_id,emp_id,salary,salary_date
1,463,-116625,2023-11-09
2,444,34993,2023-08-06
3,142,-100691,2023-06-15
4,276,101787,2023-02-08
5,181,49154,2023-02-01
6,62,73219,2023-10-10
7,399,56981,2023-02-28
8,378,43384,2023-11-02
9,123,70257,2023-02-10
10,497,71125,2023-11-22
10,497,71125,2023-11-22
11,365,52461,2023-12-04
12,230,93757,2023-03-09
13,164,53324,2023-07-02
14,220,64448,2023-11-11
15,168,77415,1905-07-15
16,368,51960,2023-25-08
17,35,11112384,2023-02-18
18,35,118151,2023-01-21
19,496,115685,2023-07-08
20,419,88872,2023-05-06
21,406,109643,2023-06-16
22,150,44878,2023-06-05
23,100,-62840,2023-03-15
24,268,40481,2023-05-29
25,470,65572,2023-10-28
26,422,63109,2023-02-02
27,53,114919,2023-08-05
28,435,49213,2023-06-20
29,73,103845,2023-09-04
30,484,75543,2023-07-22
31,305,35766,2023-09-10
32,48,86207,2023-07-29
33,400,103487,2023-07-12
34,149,51856,2023-05-08
35,339,47812,2023-10-22
36,405,103143,2023-08-12
37,262,11110578,2023-11-28
38,431,63393,2023-05-22
39,439,44359,2023-01-06
40,250,64055,2023-04-26
41,73,101530,2023-06-10
42,323,87552,2023-10-30
43,30,-111588,2023-03-02
44,389,100305,2023-09-07
45,206,95549,2023-09-19
46,28,84253,2023-12-30
47,232,41137,2023-01-29
48,112,82376,2023-07-11
49,472,93167,2023-04-29
50,34,118955,2023-07-07
51,33,34944,2023-11-07
52,105,115169,2023-09-19
53,37,36828,2023-02-02
54,452,67763,2023-03-22
55,368,73369,2023-09-25
56,54,-92262,2023-11-15
57,439,44584,2023-05-05
58,363,95809,2023-01-23
59,434,50964,2023-01-21
60,310,-67191,2023-07-06
61,464,84662,2023-03-13
62,202,30357,2023-03-24
63,320,66127,2023-07-23
63,320,66127,2023-07-23
64,317,99301,2023-08-13
65,412,50482,2023-11-30
66,450,70035,2023-05-09
67,447,104144,2023-07-06
68,17,33748,2023-03-21
69,308,35624,2023-05-23
70,67,114144,2023-03-21
71,440,103598,2023-11-20
72,277,74487,2023-03-12
73,247,91968,2023-09-05
74,69,58220,2023-12-26
75,183,-55653,2023-04-01
76,105,67282,2023-06-09
77,472,117444,2023-07-13
78,417,55977,2023-06-02
79,409,33944,2023-06-13
80,11,45496,2023-01-01
81,168,-68585,2023-01-30
82,261,104881,2023-04-13
83,12,60707,2023-12-17
84,388,86355,2023-07-03
85,126,-46481,2023-12-19
86,250,68004,2023-01-20
87,214,48170,2023-11-27
88,342,91687,2023-06-08
89,491,79923,2023-12-13
90,412,41747,2023-09-10
91,107,36502,2023-12-26
92,171,51126,2023-02-22
93,149,77045,2023-03-21
94,38,36227,2023-12-09
95,144,38389,2023-01-02
96,494,90495,2023-04-27
97,99,44017,2023-06-27
98,496,109400,2023-01-13
99,463,64706,2023-02-25
100,206,-102649,2023-03-09
101,355,48258,2023-10-15
102,58,42341,2023-04-22
103,419,90810,2023-12-09
104,233,61066,2023-10-24
105,306,70695,2023-07-13
106,413,79982,2023-07-24
107,321,108495,2023-05-02
108,445,45198,2023-04-24
109,126,116277,2023-07-14
110,319,71031,2023-03-15
111,282,100595,2023-11-29
112,76,-71692,2023-09-28
113,249,105871,2023-10-09
114,43,104267,2023-06-15
115,243,55335,2023-04-26
116,433,-73831,2023-06-27
117,450,90002,2023-05-01
118,124,33111,2023-09-30
119,400,60545,2023-04-13
120,277,102793,2023-08-22
121,43,-76512,2023-02-24
122,486,81989,2023-04-22
123,324,-81384,2023-07-29
124,244,80942,2023-10-02
125,432,118391,2023-02-19
126,339,30480,2023-01-05
127,138,117260,2023-09-02
128,413,112680,2023-11-13
129,88,98377,2023-07-13
130,37,54210,2023-01-12
131,234,45818,2023-07-03
132,475,98764,2023-10-27
133,142,53288,2023-10-12
134,154,85880,2023-09-21
135,18,87292,2023-11-27
136,345,36605,2023-06-10
137,200,35686,2023-07-04
138,390,118533,2023-02-19
139,288,42879,2023-02-04
140,137,105822,2023-04-30
141,2,84999,2023-03-26
142,5,79822,2023-11-22
143,56,110209,2023-10-30
144,67,31017,2023-03-21
145,470,70813,2023-09-25
146,372,55029,2023-07-12
147,226,-42771,2023-07-02
148,407,49299,2023-06-05
149,288,74433,2023-11-09
150,281,113840,2023-12-12
151,85,67291,2023-06-06
152,39,100998,2023-04-20
153,70,71011,2023-10-28
154,166,57238,2023-01-23
155,126,41029,2023-07-24
156,139,106616,2023-04-14
157,32,65058,2023-07-22
158,47,40246,2023-05-02
159,195,75243,2023-12-14
160,165,37183,2023-06-19
161,497,34848,2023-04-02
162,28,105339,2023-05-13
163,448,114913,2023-01-29
164,326,118311,2023-10-22
165,489,74648,2023-03-18
166,204,107918,2023-05-24
167,74,112025,2023-09-14
168,103,68897,2023-06-08
169,260,102249,2023-08-25
170,432,59578,2023-06-21
171,85,99824,2023-02-17
172,499,32902,2023-03-12
173,308,34159,2023-08-16
174,404,85244,2023-10-06
175,177,32617,2023-06-26
176,43,96523,2023-01-03
177,320,97946,2023-01-24
178,113,-94601,2023-06-09
179,337,102250,2023-02-24
180,300,66768,2023-05-20
181,325,54515,2023-03-08
182,198,57101,2023-11-30
183,469,109491,2023-12-06
184,100,117752,2023-12-25
185,434,79713,2023-09-02
186,399,69885,2023-01-31
187,405,35463,2023-01-23
188,273,-58338,2023-07-23
189,280,86549,2023-02-10
